ID,Date,LocationDescription,Arrest,Domestic,Beat,District,CommunityArea,Year,Latitude,Longitude
8951354,12/31/12 23:15,STREET,FALSE,FALSE,623,6,69,2012,41.75628399,-87.62164472
8951141,12/31/12 22:00,STREET,FALSE,FALSE,1213,12,24,2012,41.89878849,-87.66130317
8952745,12/31/12 22:00,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1622,16,11,2012,41.96918578,-87.76766974
8952223,12/31/12 22:00,STREET,FALSE,FALSE,724,7,67,2012,41.76932868,-87.65772562
8951608,12/31/12 21:30,STREET,FALSE,FALSE,211,2,35,2012,41.83756759,-87.62176133
8950793,12/31/12 20:30,STREET,TRUE,FALSE,2521,25,19,2012,41.92856081,-87.75399811
8950760,12/31/12 20:10,STREET,FALSE,FALSE,423,4,48,2012,41.73206438,-87.56480699
8951611,12/31/12 20:00,STREET,FALSE,FALSE,231,2,40,2012,41.79251066,-87.61931523
8951802,12/31/12 19:00,STREET,TRUE,FALSE,1021,10,29,2012,41.86361905,-87.70909915
8950706,12/31/12 18:00,STREET,FALSE,FALSE,1215,12,24,2012,41.89008017,-87.65881624
8951585,12/31/12 18:00,STREET,FALSE,FALSE,1011,10,29,2012,41.86542444,-87.72024588
8951230,12/31/12 17:00,STREET,FALSE,FALSE,734,7,67,2012,41.76506481,-87.66066246
8955530,12/31/12 16:30,STREET,FALSE,FALSE,921,9,58,2012,41.82053998,-87.68490083
8950570,12/31/12 16:20,GAS STATION,TRUE,FALSE,825,8,66,2012,41.78454873,-87.68393262
8954231,12/31/12 16:15,STREET,FALSE,FALSE,1834,18,8,2012,41.89348893,-87.62160374
8950703,12/31/12 16:00,STREET,FALSE,FALSE,835,8,70,2012,41.74443823,-87.68835309
8954418,12/31/12 16:00,STREET,FALSE,FALSE,1723,17,14,2012,41.96477311,-87.72164756
8951685,12/31/12 16:00,STREET,FALSE,FALSE,122,1,32,2012,41.88434582,-87.63107701
8950586,12/31/12 14:36,STREET,FALSE,FALSE,511,5,49,2012,41.7176144,-87.62750715
8951367,12/31/12 13:45,STREET,FALSE,FALSE,1812,18,7,2012,41.92544956,-87.64203632
